Auftrag_ID,Datum,Kunde / Firma,Adresse Start,Adresse Ziel,Transport,Zusatztechnik,Kilometer,Kraftstoffverbrauch_Liter,Anzahl Möbelpacker,Arbeitsstunden Möbelpacker,Auftragsdauer_Stunden,Preis_EUR,Notizen
1024,2025-02-08,Lagerhaus Barmbek,"Bahnhofstraße 31, Stade","Feldweg 55, Pinneberg",gemieteter 12t LKW mit Fahrer,Möbellift,64,10.07,2,5.4,7.5,594.66,Möbellift
1025,2025-02-08,Martin Schulz,"Hafenstraße 42, Hamburg-Nord","Elbchaussee 31, Pinneberg",gemieteter 12t LKW mit Fahrer,Möbellift,111,17.34,4,4.6,6.0,813.28,Möbellift
1026,2025-02-09,Peter Hansen,"Hauptstraße 111, Hamburg-Nord","Elbchaussee 57, Hamburg-Harburg",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,30,5.27,1,2.3,4.3,385.85,Gabelstapler gemietet
1027,2025-02-09,Martin Schulz,"Elbchaussee 21, Wedel","Hafenstraße 28, Pinneberg",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,71,11.46,2,7.7,10.5,707.35,Gabelstapler gemietet
1028,2025-02-09,Lena Vogt,"Hafenstraße 54, Stade","Industriestraße 22, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,Möbellift,92,14.63,4,3.3,6.3,653.23,Möbellift
1029,2025-02-10,Thomas Krüger,"Lange Reihe 61, Hamburg-Wandsbek","Elbchaussee 23, Hamburg-Eimsbüttel",eigener 7.5t LKW,Gabelstapler gemietet,115,14.34,1,4.5,6.8,550.12,Gabelstapler gemietet
1030,2025-02-10,Lagerhaus Barmbek,"Bergstraße 105, Hamburg-Harburg","Hauptstraße 79, Stade",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,75,6.92,0,0.0,1.0,189.55,Gabelstapler gemietet
1031,2025-02-10,Lena Vogt,"Industriestraße 48, Pinneberg","Bahnhofstraße 61, Buxtehude",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,60,5.67,0,0.0,2.2,163.43,Gabelstapler gemietet
1032,2025-02-11,Julia Neumann,"Lange Reihe 81, Norderstedt","Hafenstraße 62, Hamburg-Nord",gemieteter 12t LKW mit Fahrer,,60,7.39,4,3.2,34.2,593.81,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1033,2025-02-11,Thomas Krüger,"Hauptstraße 15, Hamburg-Eimsbüttel","Mühlenweg 30, Pinneberg",gemieteter Transporter mit Fahrer,,8,0.85,3,4.7,7.5,561.83,
1034,2025-02-11,Lena Vogt,"Bahnhofstraße 106, Reinbek","Lange Reihe 30, Hamburg-Eimsbüttel",gemieteter 12t LKW mit Fahrer,Möbellift,30,3.59,0,0.0,1.8,89.2,Möbellift
1035,2025-02-12,Anna Becker,"Industriestraße 114, Reinbek","Mühlenweg 27, Ahrensburg",eigener 7.5t LKW,Hubwagen,62,8.53,4,7.6,10.4,939.7,Hubwagen
1036,2025-02-12,Sven Richter,"Hauptstraße 50, Hamburg-Nord","Hauptstraße 78, Wedel",gemieteter 12t LKW mit Fahrer,Möbellift,5,0.89,1,3.8,5.7,396.9,Möbellift
1037,2025-02-12,Sven Richter,"Elbchaussee 17, Reinbek","Kirchenallee 108, Buxtehude",eigener 7.5t LKW,Möbellift,100,16.21,3,6.9,8.8,841.83,Möbellift
1038,2025-02-13,Uwe Hartmann,"Lange Reihe 37, Stade","Lange Reihe 30, Hamburg-Bergedorf",eigener 7.5t LKW,Gabelstapler gemietet,45,7.49,2,3.8,5.0,478.82,Gabelstapler gemietet
1039,2025-02-13,Julia Neumann,"Feldweg 25, Hamburg-Altona","Kirchenallee 37, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,62,10.11,0,0.0,1.1,160.75,Gabelstapler gemietet
1040,2025-02-13,StartupDock Hamburg,"Bahnhofstraße 119, Hamburg-Wandsbek","Elbchaussee 93, Hamburg-Harburg",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,61,10.87,0,0.0,1.0,155.48,Gabelstapler gemietet
1041,2025-02-13,Lena Vogt,"Bergstraße 37, Hamburg-Nord","Kirchenallee 119, Hamburg-Eimsbüttel",eigener Transporter,Hubwagen,116,16.97,1,2.3,4.3,462.43,Hubwagen
1042,2025-02-14,Katrin Albrecht,"Hafenstraße 98, Ahrensburg","Hauptstraße 28, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,,83,7.82,0,0.0,2.6,156.88,
1043,2025-02-14,GreenMarket GmbH,"Bergstraße 27, Hamburg-Harburg","Bergstraße 112, Buxtehude",gemieteter 12t LKW mit Fahrer,Hubwagen,45,7.43,4,7.8,9.4,916.71,Hubwagen
1044,2025-02-14,Katrin Albrecht,"Bahnhofstraße 86, Wedel","Bergstraße 99, Ahrensburg",eigener Transporter,Hubwagen,32,5.54,4,7.2,9.9,893.28,Hubwagen
1045,2025-02-15,Peter Hansen,"Kirchenallee 18, Stade","Elbchaussee 35, Hamburg-Nord",gemieteter 12t LKW mit Fahrer,Möbellift,73,7.8,4,5.2,7.7,808.73,Möbellift
1046,2025-02-15,Lena Vogt,"Feldweg 1, Reinbek","Hafenstraße 41, Reinbek",eigener Transporter,Möbellift,56,6.08,2,7.5,8.7,675.49,Möbellift
1047,2025-02-15,GreenMarket GmbH,"Mühlenweg 2, Hamburg-Bergedorf","Mühlenweg 7, Pinneberg",eigener Transporter,Gabelstapler gemietet,71,11.24,4,5.9,6.8,812.13,Gabelstapler gemietet
1048,2025-02-16,StartupDock Hamburg,"Mühlenweg 8, Hamburg-Bergedorf","Industriestraße 56, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Möbellift,59,5.94,0,0.0,1.6,165.7,Möbellift
1049,2025-02-16,Peter Hansen,"Lange Reihe 71, Hamburg-Harburg","Hafenstraße 49, Hamburg-Eimsbüttel",eigener 7.5t LKW,Möbellift,28,2.55,0,0.0,1.5,136.15,Möbellift
1050,2025-02-16,Anna Becker,"Elbchaussee 46, Pinneberg","Feldweg 113, Reinbek",eigener 7.5t LKW,Gabelstapler gemietet,26,4.67,4,3.8,6.6,625.17,Gabelstapler gemietet
1051,2025-02-16,Anna Becker,"Bahnhofstraße 20, Pinneberg","Bahnhofstraße 28, Buxtehude",eigener Transporter,Möbellift,59,9.25,3,2.9,5.7,585.0,Möbellift
1052,2025-02-17,GreenMarket GmbH,"Bahnhofstraße 5, Ahrensburg","Bahnhofstraße 95, Wedel",eigener 7.5t LKW,Hubwagen,29,3.63,3,4.3,5.7,547.85,Hubwagen
1053,2025-02-17,Katrin Albrecht,"Kirchenallee 91, Pinneberg","Kirchenallee 110, Hamburg-Eimsbüttel",eigener 7.5t LKW,Hubwagen,27,2.73,4,2.0,3.9,502.28,Hubwagen
1054,2025-02-17,Sven Richter,"Hauptstraße 76, Wedel","Feldweg 62, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,Hubwagen,103,14.22,4,1.8,3.9,576.24,Hubwagen
1055,2025-02-18,Peter Hansen,"Lange Reihe 71, Hamburg-Harburg","Lange Reihe 22, Ahrensburg",gemieteter 12t LKW mit Fahrer,Möbellift,54,7.08,0,0.0,0.7,171.79,Möbellift
1056,2025-02-18,Lena Vogt,"Hauptstraße 11, Hamburg-Wandsbek","Lange Reihe 87, Buxtehude",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,9,1.43,1,6.6,7.2,474.69,Gabelstapler gemietet
1057,2025-02-18,Eventtechnik Elbe GmbH,"Bahnhofstraße 82, Hamburg-Altona","Hauptstraße 90, Ahrensburg",eigener Transporter,Hubwagen,64,8.05,4,5.9,8.7,789.23,Hubwagen
1058,2025-02-18,IT-Service Elbe,"Mühlenweg 43, Buxtehude","Kirchenallee 114, Hamburg-Wandsbek",gemieteter Transporter mit Fahrer,,88,15.69,1,5.5,7.2,507.73,
1059,2025-02-19,Anna Becker,"Mühlenweg 48, Hamburg-Bergedorf","Feldweg 120, Hamburg-Wandsbek",eigener Transporter,Gabelstapler gemietet,24,3.89,0,0.0,2.5,82.45,Gabelstapler gemietet
1060,2025-02-19,Martin Schulz,"Lange Reihe 70, Ahrensburg","Kirchenallee 39, Stade",eigener Transporter,Möbellift,23,3.52,0,0.0,16.5,99.06,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1061,2025-02-19,Julia Neumann,"Elbchaussee 68, Hamburg-Eimsbüttel","Mühlenweg 65, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,,8,0.83,1,5.8,8.3,415.45,
1062,2025-02-19,StartupDock Hamburg,"Elbchaussee 57, Hamburg-Harburg","Hafenstraße 12, Hamburg-Nord",gemieteter Transporter mit Fahrer,,6,1.06,1,5.5,6.4,440.34,
1063,2025-02-20,StartupDock Hamburg,"Bergstraße 19, Hamburg-Eimsbüttel","Bahnhofstraße 118, Stade",gemieteter Transporter mit Fahrer,,16,2.29,0,0.0,0.8,74.83,
1064,2025-02-20,Anna Becker,"Lange Reihe 88, Wedel","Elbchaussee 47, Reinbek",eigener Transporter,Möbellift,87,9.47,4,2.3,4.4,573.01,Möbellift
1065,2025-02-20,Fischer & Partner Büroservice,"Industriestraße 118, Ahrensburg","Kirchenallee 85, Hamburg-Altona",gemieteter Transporter mit Fahrer,Möbellift,52,4.82,0,0.0,26.0,96.68,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1066,2025-02-20,Thomas Krüger,"Feldweg 103, Reinbek","Hauptstraße 31, Hamburg-Bergedorf",eigener 7.5t LKW,Möbellift,108,12.65,1,5.5,8.3,551.82,Möbellift
1067,2025-02-21,Bäckerei Nord GmbH,"Bergstraße 94, Norderstedt","Industriestraße 97, Wedel",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,81,9.53,4,1.9,3.1,516.9,Gabelstapler gemietet
1068,2025-02-21,HafenLogistik HH,"Bergstraße 14, Wedel","Hafenstraße 41, Pinneberg",eigener Transporter,,77,8.85,3,6.0,8.5,747.15,
1069,2025-02-21,Lagerhaus Barmbek,"Hafenstraße 102, Hamburg-Nord","Elbchaussee 90, Hamburg-Nord",gemieteter 12t LKW mit Fahrer,,9,1.24,2,7.0,8.7,575.57,
1070,2025-02-22,Katrin Albrecht,"Mühlenweg 15, Hamburg-Eimsbüttel","Hauptstraße 50, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Möbellift,111,12.82,1,2.6,4.7,463.85,Möbellift
1071,2025-02-22,HafenLogistik HH,"Feldweg 10, Buxtehude","Elbchaussee 51, Hamburg-Bergedorf",gemieteter 12t LKW mit Fahrer,,16,1.97,2,7.9,8.8,612.88,
1072,2025-02-22,Eventtechnik Elbe GmbH,"Hafenstraße 32, Stade","Kirchenallee 120, Reinbek",eigener 7.5t LKW,Hubwagen,55,6.45,4,2.2,2.8,519.67,Hubwagen
1073,2025-02-23,Nina Krause,"Feldweg 116, Hamburg-Nord","Hauptstraße 45, Hamburg-Harburg",eigener 7.5t LKW,,74,9.81,1,5.0,6.2,501.79,
1074,2025-02-23,IT-Service Elbe,"Bahnhofstraße 51, Hamburg-Wandsbek","Hafenstraße 46, Pinneberg",eigener Transporter,Gabelstapler gemietet,24,2.91,3,2.4,4.1,471.32,Gabelstapler gemietet
1075,2025-02-23,HafenLogistik HH,"Hauptstraße 78, Buxtehude","Bahnhofstraße 39, Hamburg-Altona",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,63,5.83,1,2.8,5.6,441.69,Gabelstapler gemietet
1076,2025-02-24,Uwe Hartmann,"Mühlenweg 54, Hamburg-Harburg","Lange Reihe 57, Wedel",eigener 7.5t LKW,,87,9.57,3,2.9,5.6,587.02,
1077,2025-02-24,Lena Vogt,"Bergstraße 82, Hamburg-Bergedorf","Bahnhofstraße 13, Stade",eigener Transporter,Hubwagen,90,14.01,1,1.5,2.8,468.36,Hubwagen
1078,2025-02-24,Lagerhaus Barmbek,"Mühlenweg 108, Buxtehude","Industriestraße 68, Pinneberg",gemieteter 12t LKW mit Fahrer,Hubwagen,50,7.81,4,5.0,7.6,766.95,Hubwagen
1079,2025-02-25,HafenLogistik HH,"Industriestraße 72, Ahrensburg","Mühlenweg 104, Buxtehude",gemieteter Transporter mit Fahrer,,40,7.02,4,5.6,6.5,783.31,
1080,2025-02-25,Nordlicht Möbelhandel,"Bergstraße 77, Hamburg-Wandsbek","Mühlenweg 47, Stade",eigener Transporter,Hubwagen,90,12.43,0,0.0,1.9,179.28,Hubwagen
1081,2025-02-25,GreenMarket GmbH,"Elbchaussee 97, Reinbek","Lange Reihe 112, Norderstedt",gemieteter Transporter mit Fahrer,Hubwagen,40,5.87,4,6.1,8.1,825.28,Hubwagen
1082,2025-02-26,GreenMarket GmbH,"Industriestraße 105, Hamburg-Wandsbek","Elbchaussee 41, Wedel",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,102,14.55,4,4.0,6.6,734.44,Gabelstapler gemietet
1083,2025-02-26,Sven Richter,"Feldweg 114, Hamburg-Nord","Elbchaussee 104, Hamburg-Bergedorf",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,27,3.11,2,7.3,10.1,645.55,Gabelstapler gemietet
1084,2025-02-26,Nordlicht Möbelhandel,"Kirchenallee 120, Wedel","Industriestraße 71, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,88,12.65,1,5.7,7.4,546.39,Gabelstapler gemietet
1085,2025-02-27,Katrin Albrecht,"Kirchenallee 9, Norderstedt","Lange Reihe 103, Wedel",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,93,10.3,1,5.3,6.9,494.12,Gabelstapler gemietet
1086,2025-02-27,Peter Hansen,"Bergstraße 103, Wedel","Hafenstraße 109, Hamburg-Harburg",eigener Transporter,,43,4.57,4,4.3,6.8,660.05,
1087,2025-02-27,Lagerhaus Barmbek,"Hauptstraße 114, Hamburg-Wandsbek","Industriestraße 92, Norderstedt",eigener Transporter,Möbellift,44,7.32,3,3.1,5.8,540.91,Möbellift
1088,2025-02-27,GreenMarket GmbH,"Feldweg 58, Norderstedt","Kirchenallee 88, Norderstedt",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,82,10.39,0,0.0,1.4,159.27,Gabelstapler gemietet
1089,2025-02-28,Nordlicht Möbelhandel,"Bahnhofstraße 37, Ahrensburg","Elbchaussee 11, Hamburg-Nord",eigener 7.5t LKW,,39,4.02,2,4.1,6.0,528.43,
1090,2025-02-28,Fischer & Partner Büroservice,"Bahnhofstraße 40, Hamburg-Altona","Industriestraße 73, Pinneberg",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,99,16.45,0,0.0,2.7,154.24,Gabelstapler gemietet
1091,2025-02-28,Küchenstudio Altona,"Feldweg 23, Norderstedt","Kirchenallee 112, Hamburg-Altona",gemieteter 12t LKW mit Fahrer,,47,6.11,1,6.1,7.2,472.86,
1092,2025-03-01,IT-Service Elbe,"Kirchenallee 3, Hamburg-Bergedorf","Mühlenweg 114, Pinneberg",eigener Transporter,Möbellift,62,6.95,1,3.3,4.8,421.05,Möbellift
1093,2025-03-01,GreenMarket GmbH,"Elbchaussee 18, Hamburg-Bergedorf","Bergstraße 77, Hamburg-Harburg",gemieteter 12t LKW mit Fahrer,Hubwagen,111,11.43,0,0.0,1.6,242.33,Hubwagen
1094,2025-03-01,StartupDock Hamburg,"Feldweg 44, Ahrensburg","Hauptstraße 31, Hamburg-Bergedorf",eigener Transporter,Gabelstapler gemietet,40,5.46,3,2.9,3.8,504.26,Gabelstapler gemietet
1095,2025-03-01,Peter Hansen,"Bahnhofstraße 53, Ahrensburg","Feldweg 15, Hamburg-Bergedorf",eigener 7.5t LKW,Möbellift,75,7.17,1,2.2,4.8,443.27,Möbellift
1096,2025-03-02,Lena Vogt,"Lange Reihe 24, Hamburg-Eimsbüttel","Bergstraße 22, Norderstedt",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,80,12.63,3,3.0,5.2,571.25,Gabelstapler gemietet
1097,2025-03-02,Lagerhaus Barmbek,"Bahnhofstraße 71, Hamburg-Bergedorf","Bergstraße 49, Buxtehude",gemieteter 12t LKW mit Fahrer,Hubwagen,59,10.49,3,3.2,4.7,596.55,Hubwagen
1098,2025-03-02,Sven Richter,"Feldweg 88, Hamburg-Nord","Mühlenweg 55, Buxtehude",eigener 7.5t LKW,Möbellift,76,10.8,1,7.9,10.6,516.51,Möbellift
1099,2025-03-03,Sven Richter,"Mühlenweg 39, Hamburg-Bergedorf","Hafenstraße 27, Buxtehude",gemieteter Transporter mit Fahrer,,57,8.3,2,6.1,6.8,628.3,
1100,2025-03-03,StartupDock Hamburg,"Industriestraße 68, Hamburg-Nord","Hafenstraße 80, Hamburg-Bergedorf",gemieteter 12t LKW mit Fahrer,,66,9.37,1,7.8,8.5,532.93,
1101,2025-03-03,Sven Richter,"Bergstraße 66, Hamburg-Harburg","Elbchaussee 3, Hamburg-Eimsbüttel",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,45,6.55,4,4.0,6.5,673.21,Gabelstapler gemietet
1102,2025-03-04,Nordlicht Möbelhandel,"Hauptstraße 118, Buxtehude","Hauptstraße 23, Wedel",eigener Transporter,Gabelstapler gemietet,50,8.01,1,4.0,6.8,418.37,Gabelstapler gemietet
1103,2025-03-04,Julia Neumann,"Bergstraße 78, Hamburg-Altona","Elbchaussee 86, Hamburg-Wandsbek",gemieteter Transporter mit Fahrer,,32,3.61,3,6.0,6.8,690.53,
1104,2025-03-04,Nordlicht Möbelhandel,"Bergstraße 105, Buxtehude","Hauptstraße 71, Hamburg-Eimsbüttel",gemieteter 12t LKW mit Fahrer,Möbellift,118,15.16,3,4.6,35.3,682.51,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1105,2025-03-04,Uwe Hartmann,"Hafenstraße 23, Hamburg-Bergedorf","Bergstraße 21, Hamburg-Wandsbek",eigener Transporter,Gabelstapler gemietet,55,6.56,3,5.3,7.3,693.42,Gabelstapler gemietet
1106,2025-03-05,Bäckerei Nord GmbH,"Hauptstraße 5, Hamburg-Bergedorf","Lange Reihe 39, Norderstedt",eigener Transporter,,50,5.51,0,0.0,2.0,96.37,
1107,2025-03-05,Anna Becker,"Elbchaussee 97, Norderstedt","Elbchaussee 72, Hamburg-Bergedorf",gemieteter 12t LKW mit Fahrer,Gabelstapler gemietet,98,17.31,1,5.6,8.3,558.13,Gabelstapler gemietet
1108,2025-03-05,Nina Krause,"Kirchenallee 18, Norderstedt","Bergstraße 112, Hamburg-Wandsbek",gemieteter Transporter mit Fahrer,Möbellift,87,15.35,0,0.0,2.1,152.26,Möbellift
1109,2025-03-05,Thomas Krüger,"Elbchaussee 82, Hamburg-Harburg","Industriestraße 79, Norderstedt",gemieteter Transporter mit Fahrer,,86,12.33,3,5.8,6.5,741.27,
1110,2025-03-06,Katrin Albrecht,"Bergstraße 69, Ahrensburg","Kirchenallee 113, Hamburg-Eimsbüttel",eigener 7.5t LKW,Hubwagen,65,7.49,2,3.9,35.2,533.45,Mehrtagiger Auftrag (z.B. Lagerumzug / LKW manuell beladen)
1111,2025-03-06,Martin Schulz,"Elbchaussee 116, Wedel","Kirchenallee 45, Hamburg-Eimsbüttel",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,103,13.7,2,3.8,6.7,562.55,Gabelstapler gemietet
1112,2025-03-06,Lena Vogt,"Bahnhofstraße 6, Wedel","Industriestraße 77, Hamburg-Eimsbüttel",eigener Transporter,,73,12.49,3,4.1,5.6,608.99,
1113,2025-03-06,Julia Neumann,"Mühlenweg 61, Hamburg-Altona","Industriestraße 97, Hamburg-Altona",eigener Transporter,Möbellift,11,1.28,3,2.8,3.9,498.6,Möbellift
1114,2025-03-07,Küchenstudio Altona,"Hauptstraße 42, Stade","Lange Reihe 93, Wedel",gemieteter 12t LKW mit Fahrer,Möbellift,82,10.85,2,7.8,10.3,701.05,Möbellift
1115,2025-03-07,Anna Becker,"Hafenstraße 26, Buxtehude","Kirchenallee 58, Hamburg-Altona",eigener Transporter,Möbellift,89,13.22,1,3.6,4.7,473.82,Möbellift
1116,2025-03-07,Thomas Krüger,"Feldweg 119, Stade","Bahnhofstraße 45, Pinneberg",eigener Transporter,,117,14.43,0,0.0,0.9,184.35,
1117,2025-03-08,Lagerhaus Barmbek,"Lange Reihe 58, Hamburg-Nord","Mühlenweg 109, Hamburg-Altona",eigener Transporter,Gabelstapler gemietet,9,1.14,3,4.5,7.0,589.42,Gabelstapler gemietet
1118,2025-03-08,Lena Vogt,"Elbchaussee 73, Reinbek","Hauptstraße 29, Hamburg-Harburg",gemieteter Transporter mit Fahrer,Gabelstapler gemietet,117,19.98,0,0.0,2.2,217.09,Gabelstapler gemietet
1119,2025-03-08,Thomas Krüger,"Bergstraße 17, Hamburg-Eimsbüttel","Hauptstraße 1, Wedel",gemieteter Transporter mit Fahrer,Hubwagen,53,6.49,0,0.0,2.9,123.08,Hubwagen
1120,2025-03-08,GreenMarket GmbH,"Bahnhofstraße 89, Hamburg-Altona","Lange Reihe 50, Buxtehude",eigener 7.5t LKW,Hubwagen,28,4.25,1,1.7,3.5,399.61,Hubwagen
1121,2025-03-09,Peter Hansen,"Bahnhofstraße 2, Reinbek","Feldweg 114, Wedel",gemieteter 12t LKW mit Fahrer,,6,0.57,1,5.1,7.4,452.48,
1122,2025-03-09,Uwe Hartmann,"Hauptstraße 112, Buxtehude","Hafenstraße 26, Hamburg-Nord",eigener 7.5t LKW,Gabelstapler gemietet,7,0.81,0,0.0,2.9,50.79,Gabelstapler gemietet
1123,2025-03-09,Julia Neumann,"Kirchenallee 110, Wedel","Bahnhofstraße 92, Hamburg-Nord",eigener 7.5t LKW,Hubwagen,28,4.67,0,0.0,0.7,63.62,Hubwagen
1124,2025-03-09,Uwe Hartmann,"Bergstraße 17, Stade","Hafenstraße 21, Hamburg-Eimsbüttel",eigener Transporter,Hubwagen,74,11.96,0,0.0,2.4,181.25,Hubwagen
1125,2025-03-10,StartupDock Hamburg,"Kirchenallee 66, Hamburg-Altona","Industriestraße 79, Hamburg-Bergedorf",eigener Transporter,,48,8.13,2,2.2,3.1,476.42,
1126,2025-03-10,Bäckerei Nord GmbH,"Mühlenweg 60, Wedel","Hafenstraße 26, Stade",gemieteter Transporter mit Fahrer,Möbellift,44,5.57,0,0.0,0.7,149.1,Möbellift
1127,2025-03-10,Nordlicht Möbelhandel,"Bergstraße 61, Hamburg-Harburg","Feldweg 24, Norderstedt",gemieteter Transporter mit Fahrer,,118,13.76,3,2.7,3.7,611.25,
